2026-02-28 10:18:49,982 | INFO | app | [6661a88c] OPTIONS /api/v1/tasks?page=1&page_size=10 -> 200 (22.41ms)
2026-02-28 10:18:50,023 | INFO | uvicorn.access | 127.0.0.1:54315 - "OPTIONS /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 10:18:50,257 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 10:18:50,281 | INFO | app | [a0896f89] GET /api/v1/tasks?page=1&page_size=10 -> 200 (252.61ms)
2026-02-28 10:18:50,281 | INFO | uvicorn.access | 127.0.0.1:54319 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 10:18:55,568 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 10:18:55,570 | INFO | app | [be6c32b4] GET /api/v1/tasks?page=1&page_size=10 -> 200 (57.21ms)
2026-02-28 10:18:55,575 | INFO | uvicorn.access | 127.0.0.1:54355 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:08:04,776 | INFO | app | [5b098103] OPTIONS /api/v1/tasks?page=1&page_size=10 -> 200 (14.87ms)
2026-02-28 11:08:04,788 | INFO | uvicorn.access | 127.0.0.1:51008 - "OPTIONS /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:08:04,894 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:08:04,911 | INFO | app | [647a3b69] GET /api/v1/tasks?page=1&page_size=10 -> 200 (117.52ms)
2026-02-28 11:08:04,911 | INFO | uvicorn.access | 127.0.0.1:51012 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:08:06,931 | INFO | app | [59a43ef2] OPTIONS /api/v1/task-templates?page=1&page_size=10 -> 200 (6.94ms)
2026-02-28 11:08:06,935 | INFO | uvicorn.access | 127.0.0.1:51033 - "OPTIONS /api/v1/task-templates?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:08:07,006 | INFO | app | [16714ea1] GET /api/v1/task-templates?page=1&page_size=10 -> 200 (67.29ms)
2026-02-28 11:08:07,006 | INFO | uvicorn.access | 127.0.0.1:51033 - "GET /api/v1/task-templates?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:09:50,195 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:09:50,201 | INFO | app | [555399d2] GET /api/v1/tasks?page=1&page_size=10 -> 200 (81.86ms)
2026-02-28 11:09:50,201 | INFO | uvicorn.access | 127.0.0.1:52116 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:09:52,006 | INFO | app | [f26baf78] GET /api/v1/task-templates?page=1&page_size=10 -> 200 (23.29ms)
2026-02-28 11:09:52,007 | INFO | uvicorn.access | 127.0.0.1:52146 - "GET /api/v1/task-templates?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:09:52,593 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:09:52,600 | INFO | app | [8c896771] GET /api/v1/tasks?page=1&page_size=10 -> 200 (33.76ms)
2026-02-28 11:09:52,600 | INFO | uvicorn.access | 127.0.0.1:52146 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:09:53,229 | INFO | app | [44a42ab2] OPTIONS /api/v1/settings/comfyui -> 200 (1.49ms)
2026-02-28 11:09:53,232 | INFO | uvicorn.access | 127.0.0.1:52146 - "OPTIONS /api/v1/settings/comfyui HTTP/1.1" 200
2026-02-28 11:09:53,276 | INFO | app | [271d6e56] GET /api/v1/settings/comfyui -> 200 (40.70ms)
2026-02-28 11:09:53,276 | INFO | uvicorn.access | 127.0.0.1:52168 - "GET /api/v1/settings/comfyui HTTP/1.1" 200
2026-02-28 11:09:54,297 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:09:54,303 | INFO | app | [d06139fe] GET /api/v1/tasks?page=1&page_size=10 -> 200 (59.42ms)
2026-02-28 11:09:54,303 | INFO | uvicorn.access | 127.0.0.1:52168 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:10:08,227 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:10:08,471 | INFO | app | [704320ef] GET /api/v1/tasks?page=1&page_size=10 -> 200 (464.35ms)
2026-02-28 11:10:08,471 | INFO | uvicorn.access | 127.0.0.1:52320 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:10:10,097 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:10:10,111 | INFO | app | [e577f4d5] GET /api/v1/tasks?page=1&page_size=10 -> 200 (129.36ms)
2026-02-28 11:10:10,111 | INFO | uvicorn.access | 127.0.0.1:52320 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:10:41,489 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:10:41,502 | INFO | app | [fb3bd985] GET /api/v1/tasks?page=1&page_size=10 -> 200 (116.92ms)
2026-02-28 11:10:41,502 | INFO | uvicorn.access | 127.0.0.1:52689 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:12:30,203 | INFO | app | [b4c208f5] GET /api/v1/task-templates?page=1&page_size=10 -> 200 (39.99ms)
2026-02-28 11:12:30,204 | INFO | uvicorn.access | 127.0.0.1:53892 - "GET /api/v1/task-templates?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:12:47,803 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:12:47,823 | INFO | app | [83592d83] GET /api/v1/tasks?page=1&page_size=10 -> 200 (138.88ms)
2026-02-28 11:12:47,823 | INFO | uvicorn.access | 127.0.0.1:54135 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:13:37,867 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:13:37,879 | INFO | app | [6365815c] GET /api/v1/tasks?page=1&page_size=10 -> 200 (92.61ms)
2026-02-28 11:13:37,880 | INFO | uvicorn.access | 127.0.0.1:54651 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:15:41,510 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:15:41,513 | INFO | app | [aad73ee5] GET /api/v1/tasks?page=1&page_size=10 -> 200 (80.87ms)
2026-02-28 11:15:41,514 | INFO | uvicorn.access | 127.0.0.1:55926 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:16:16,713 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:16:16,718 | INFO | app | [ae8dcd25] GET /api/v1/tasks?page=1&page_size=10 -> 200 (50.05ms)
2026-02-28 11:16:16,718 | INFO | uvicorn.access | 127.0.0.1:56356 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:16:56,128 | INFO | app | [f42aeca1] GET /api/v1/task-templates?page=1&page_size=10 -> 200 (208.52ms)
2026-02-28 11:16:56,131 | INFO | uvicorn.access | 127.0.0.1:56794 - "GET /api/v1/task-templates?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:17:43,767 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:17:43,785 | INFO | app | [35f35e9e] GET /api/v1/tasks?page=1&page_size=10 -> 200 (134.36ms)
2026-02-28 11:17:43,786 | INFO | uvicorn.access | 127.0.0.1:57358 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:17:56,264 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:17:56,273 | INFO | app | [9f294b86] GET /api/v1/tasks?page=1&page_size=10 -> 200 (70.48ms)
2026-02-28 11:17:56,273 | INFO | uvicorn.access | 127.0.0.1:57550 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:17:59,300 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:17:59,311 | INFO | app | [4774dea8] GET /api/v1/tasks?page=1&page_size=10 -> 200 (88.91ms)
2026-02-28 11:17:59,311 | INFO | uvicorn.access | 127.0.0.1:57592 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:19:24,600 | INFO | app | [05d646df] OPTIONS /api/v1/task-templates?page=1&page_size=10 -> 200 (5.22ms)
2026-02-28 11:19:24,602 | INFO | uvicorn.access | 127.0.0.1:58471 - "OPTIONS /api/v1/task-templates?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:19:24,746 | INFO | app | [56a0dfcb] GET /api/v1/task-templates?page=1&page_size=10 -> 200 (140.30ms)
2026-02-28 11:19:24,747 | INFO | uvicorn.access | 127.0.0.1:58474 - "GET /api/v1/task-templates?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:19:45,835 | INFO | app | [18639a5b] OPTIONS /api/v1/tasks?page=1&page_size=10 -> 200 (7.37ms)
2026-02-28 11:19:45,844 | INFO | uvicorn.access | 127.0.0.1:58738 - "OPTIONS /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:19:45,984 | INFO | app.tasks | list_tasks filters: task_id=None status=None page=1 page_size=10 -> items=6 total=6
2026-02-28 11:19:45,994 | INFO | app | [d90052c7] GET /api/v1/tasks?page=1&page_size=10 -> 200 (142.28ms)
2026-02-28 11:19:45,995 | INFO | uvicorn.access | 127.0.0.1:58738 - "GET /api/v1/tasks?page=1&page_size=10 HTTP/1.1" 200
2026-02-28 11:20:46,647 | INFO | app | [010720db] OPTIONS /api/v1/auth/login -> 400 (2.16ms)
