2026-03-27 10:55:48,989 | INFO | app | [32f221af] OPTIONS /api/v1/accounts?page=1&page_size=20 -> 200 (13.87ms)
2026-03-27 10:55:49,021 | INFO | uvicorn.access | 127.0.0.1:65118 - "OPTIONS /api/v1/accounts?page=1&page_size=20 HTTP/1.1" 200
2026-03-27 10:55:49,217 | INFO | app | [071fdbe7] GET /api/v1/accounts?page=1&page_size=20 -> 200 (192.77ms)
2026-03-27 10:55:49,218 | INFO | uvicorn.access | 127.0.0.1:65120 - "GET /api/v1/accounts?page=1&page_size=20 HTTP/1.1" 200
2026-03-27 10:55:49,376 | INFO | app | [8c202cda] OPTIONS /api/v1/video-ai-templates?page=1&page_size=20 -> 200 (0.42ms)
2026-03-27 10:55:49,376 | INFO | uvicorn.access | 127.0.0.1:65120 - "OPTIONS /api/v1/video-ai-templates?page=1&page_size=20 HTTP/1.1" 200
2026-03-27 10:55:49,378 | INFO | app | [1ce21153] OPTIONS /api/v1/video-ai-templates/stats -> 200 (0.75ms)
2026-03-27 10:55:49,378 | INFO | uvicorn.access | 127.0.0.1:65122 - "OPTIONS /api/v1/video-ai-templates/stats HTTP/1.1" 200
2026-03-27 10:55:49,449 | INFO | app | [c1a6d8f8] GET /api/v1/video-ai-templates/stats -> 200 (67.98ms)
2026-03-27 10:55:49,449 | INFO | uvicorn.access | 127.0.0.1:65124 - "GET /api/v1/video-ai-templates/stats HTTP/1.1" 200
2026-03-27 10:55:49,687 | INFO | app | [cce14749] GET /api/v1/video-ai-templates?page=1&page_size=20 -> 200 (308.76ms)
2026-03-27 10:55:49,687 | INFO | uvicorn.access | 127.0.0.1:65120 - "GET /api/v1/video-ai-templates?page=1&page_size=20 HTTP/1.1" 200
2026-03-27 10:55:49,805 | INFO | app | [0581c327] OPTIONS /api/v1/face-library -> 200 (0.41ms)
2026-03-27 10:55:49,805 | INFO | uvicorn.access | 127.0.0.1:65120 - "OPTIONS /api/v1/face-library HTTP/1.1" 200
2026-03-27 10:55:49,836 | INFO | app | [39dbb9f1] GET /api/v1/face-library -> 200 (29.43ms)
2026-03-27 10:55:49,836 | INFO | uvicorn.access | 127.0.0.1:65120 - "GET /api/v1/face-library HTTP/1.1" 200
2026-03-27 10:55:50,659 | INFO | app | [5b90553b] GET /api/v1/accounts?page=1&page_size=20 -> 200 (39.14ms)
2026-03-27 10:55:50,659 | INFO | uvicorn.access | 127.0.0.1:65120 - "GET /api/v1/accounts?page=1&page_size=20 HTTP/1.1" 200
2026-03-27 11:00:58,411 | INFO | app | [7c35d5e1] OPTIONS /api/v1/auth/profile -> 200 (26.39ms)
2026-03-27 11:00:58,416 | INFO | uvicorn.access | 127.0.0.1:50518 - "OPTIONS /api/v1/auth/profile HTTP/1.1" 200
2026-03-27 11:00:58,530 | INFO | app | [d8033bb6] GET /api/v1/auth/profile -> 200 (97.84ms)
2026-03-27 11:00:58,530 | INFO | uvicorn.access | 127.0.0.1:50521 - "GET /api/v1/auth/profile HTTP/1.1" 200
2026-03-27 11:00:58,620 | INFO | app | [9cf96b6e] GET /api/v1/accounts?page=1&page_size=20 -> 200 (227.77ms)
2026-03-27 11:00:58,620 | INFO | uvicorn.access | 127.0.0.1:50519 - "GET /api/v1/accounts?page=1&page_size=20 HTTP/1.1" 200
2026-03-27 11:08:45,583 | INFO | app | [0e5bef51] OPTIONS /api/v1/video-ai-templates?page=1&page_size=20 -> 200 (7.76ms)
2026-03-27 11:08:45,586 | INFO | uvicorn.access | 127.0.0.1:52841 - "OPTIONS /api/v1/video-ai-templates?page=1&page_size=20 HTTP/1.1" 200
2026-03-27 11:08:45,586 | INFO | app | [cfab3016] OPTIONS /api/v1/video-ai-templates/stats -> 200 (4.74ms)
2026-03-27 11:08:45,586 | INFO | uvicorn.access | 127.0.0.1:52842 - "OPTIONS /api/v1/video-ai-templates/stats HTTP/1.1" 200
2026-03-27 11:08:45,654 | INFO | app | [e54e7396] GET /api/v1/video-ai-templates/stats -> 200 (61.84ms)
2026-03-27 11:08:45,654 | INFO | uvicorn.access | 127.0.0.1:52844 - "GET /api/v1/video-ai-templates/stats HTTP/1.1" 200
2026-03-27 11:08:45,787 | INFO | app | [25f50160] GET /api/v1/video-ai-templates?page=1&page_size=20 -> 200 (198.89ms)
2026-03-27 11:08:45,787 | INFO | uvicorn.access | 127.0.0.1:52842 - "GET /api/v1/video-ai-templates?page=1&page_size=20 HTTP/1.1" 200
2026-03-27 11:08:46,904 | INFO | app | [d2adf0a5] OPTIONS /api/v1/face-library -> 200 (1.61ms)
2026-03-27 11:08:46,904 | INFO | uvicorn.access | 127.0.0.1:52842 - "OPTIONS /api/v1/face-library HTTP/1.1" 200
2026-03-27 11:08:46,948 | INFO | app | [38ee19dd] GET /api/v1/face-library -> 200 (42.94ms)
2026-03-27 11:08:46,948 | INFO | uvicorn.access | 127.0.0.1:52842 - "GET /api/v1/face-library HTTP/1.1" 200
2026-03-27 11:08:47,477 | INFO | app | [9c5c1b24] GET /api/v1/video-ai-templates/stats -> 200 (25.22ms)
2026-03-27 11:08:47,477 | INFO | uvicorn.access | 127.0.0.1:52844 - "GET /api/v1/video-ai-templates/stats HTTP/1.1" 200
2026-03-27 11:08:47,571 | INFO | app | [82a1d112] GET /api/v1/video-ai-templates?page=1&page_size=20 -> 200 (119.71ms)
2026-03-27 11:08:47,571 | INFO | uvicorn.access | 127.0.0.1:52842 - "GET /api/v1/video-ai-templates?page=1&page_size=20 HTTP/1.1" 200
2026-03-27 11:08:48,136 | INFO | app | [d634fa04] GET /api/v1/face-library -> 200 (33.21ms)
2026-03-27 11:08:48,137 | INFO | uvicorn.access | 127.0.0.1:52842 - "GET /api/v1/face-library HTTP/1.1" 200
2026-03-27 11:08:49,614 | INFO | app | [9347cbd7] OPTIONS /api/v1/tiktok-bloggers -> 200 (1.58ms)
2026-03-27 11:08:49,614 | INFO | uvicorn.access | 127.0.0.1:52842 - "OPTIONS /api/v1/tiktok-bloggers HTTP/1.1" 200
2026-03-27 11:08:49,693 | INFO | app | [b6018f2c] GET /api/v1/tiktok-bloggers -> 200 (77.99ms)
2026-03-27 11:08:49,694 | INFO | uvicorn.access | 127.0.0.1:52842 - "GET /api/v1/tiktok-bloggers HTTP/1.1" 200
2026-03-27 11:08:49,699 | INFO | app | [87ac1b05] OPTIONS /api/v1/video-tasks?page=1&page_size=20&target_date=2026-03-27 -> 200 (0.25ms)
2026-03-27 11:08:49,699 | INFO | uvicorn.access | 127.0.0.1:52842 - "OPTIONS /api/v1/video-tasks?page=1&page_size=20&target_date=2026-03-27 HTTP/1.1" 200
2026-03-27 11:08:49,699 | INFO | app | [c7f81464] OPTIONS /api/v1/video-tasks/stats?target_date=2026-03-27 -> 200 (0.33ms)
2026-03-27 11:08:49,699 | INFO | uvicorn.access | 127.0.0.1:52844 - "OPTIONS /api/v1/video-tasks/stats?target_date=2026-03-27 HTTP/1.1" 200
2026-03-27 11:08:49,747 | INFO | app | [a3d7ceeb] GET /api/v1/video-tasks/stats?target_date=2026-03-27 -> 200 (45.59ms)
2026-03-27 11:08:49,747 | INFO | uvicorn.access | 127.0.0.1:52842 - "GET /api/v1/video-tasks/stats?target_date=2026-03-27 HTTP/1.1" 200
2026-03-27 11:08:49,779 | INFO | app | [a3152175] GET /api/v1/video-tasks?page=1&page_size=20&target_date=2026-03-27 -> 200 (79.68ms)
2026-03-27 11:08:49,779 | INFO | uvicorn.access | 127.0.0.1:52844 - "GET /api/v1/video-tasks?page=1&page_size=20&target_date=2026-03-27 HTTP/1.1" 200
2026-03-27 11:08:49,807 | INFO | app | [216ed6b4] GET /api/v1/video-tasks/stats?target_date=2026-03-27 -> 200 (14.85ms)
2026-03-27 11:08:49,807 | INFO | uvicorn.access | 127.0.0.1:52844 - "GET /api/v1/video-tasks/stats?target_date=2026-03-27 HTTP/1.1" 200
2026-03-27 11:08:50,281 | INFO | app | [4f703793] OPTIONS /api/v1/candidates?template_type=shared&imported=false&page=1&page_size=20 -> 200 (1.10ms)
2026-03-27 11:08:50,281 | INFO | uvicorn.access | 127.0.0.1:52844 - "OPTIONS /api/v1/candidates?template_type=shared&imported=false&page=1&page_size=20 HTTP/1.1" 200
2026-03-27 11:08:50,282 | INFO | app | [cab52d41] OPTIONS /api/v1/topics/keywords/all -> 200 (1.54ms)
